Airline,Month,Passengers_In,Passengers_Out
Air Caledonie International,Apr,4965.0,4911.0
Air Caledonie International,Aug,5575.0,5017.0
Air Caledonie International,Dec,6944.0,5827.0
Air Caledonie International,Feb,3889.0,6148.0
Air Caledonie International,Jan,8291.0,7336.0
Air Caledonie International,Jul,3969.0,4200.0
Air Caledonie International,Jun,4001.0,5143.0
Air Caledonie International,Mar,3957.0,4409.0
Air Caledonie International,May,3996.0,3786.0
Air Caledonie International,Nov,5233.0,5542.0
Air Caledonie International,Oct,5962.0,5901.0
Air Caledonie International,Sep,4377.0,4832.0
Air Canada,Apr,13149.0,18147.0
Air Canada,Aug,18096.0,19464.0
Air Canada,Dec,16792.0,20523.0
Air Canada,Feb,18173.0,14098.0
Air Canada,Jan,20122.0,16999.0
Air Canada,Jul,20502.0,19483.0
Air Canada,Jun,16202.0,18943.0
Air Canada,Mar,16966.0,18414.0
Air Canada,May,13557.0,18280.0
Air Canada,Nov,14694.0,14857.0
Air Canada,Oct,17104.0,11799.0
Air Canada,Sep,18211.0,15858.0
Air Chathams,Dec,169.0,144.0
Air Chathams,Nov,166.0,137.0
Air Chathams,Oct,124.0,138.0
Air Chathams,Sep,90.0,87.0
Air China,Apr,13555.0,14829.0
Air China,Aug,11676.0,13914.0
Air China,Dec,18332.0,23232.0
Air China,Feb,27454.0,22903.0
Air China,Jan,28053.0,24187.0
Air China,Jul,11095.0,12879.0
Air China,Jun,10001.0,14746.0
Air China,Mar,20223.0,18759.0
Air China,May,11015.0,14577.0
Air China,Nov,16089.0,20320.0
Air China,Oct,12003.0,14687.0
Air China,Sep,9657.0,13977.0
Air India,Apr,7901.0,7867.0
Air India,Aug,8453.0,7521.0
Air India,Dec,7794.0,8536.0
Air India,Feb,7863.0,6094.0
Air India,Jan,8510.0,7573.0
Air India,Jul,8395.0,6145.0
Air India,Jun,8144.0,7827.0
Air India,Mar,7270.0,6841.0
Air India,May,7963.0,6119.0
Air India,Nov,7051.0,7790.0
Air India,Oct,8121.0,7491.0
Air India,Sep,7630.0,7475.0
Air Mauritius,Apr,1755.0,2043.0
Air Mauritius,Aug,1751.0,1808.0
Air Mauritius,Dec,2870.0,3067.0
Air Mauritius,Feb,2010.0,1417.0
Air Mauritius,Jan,3535.0,3098.0
Air Mauritius,Jul,2458.0,2213.0
