Airline,Airline,Date_Actual,Freight_In_(tonnes)
Air Caledonie International,Air Caledonie International,2017-11-01,
Air Caledonie International,Air Caledonie International,2017-12-01,
Air Caledonie International,Air Caledonie International,2018-01-01,7.518000000000001
Air Caledonie International,Air Caledonie International,2018-02-01,6.741333333333333
Air Caledonie International,Air Caledonie International,2018-03-01,3.8906666666666667
Air Caledonie International,Air Caledonie International,2018-04-01,5.5906666666666665
Air Caledonie International,Air Caledonie International,2018-05-01,4.852666666666667
Air Caledonie International,Air Caledonie International,2018-06-01,5.046333333333333
Air Caledonie International,Air Caledonie International,2018-07-01,3.2593333333333327
Air Caledonie International,Air Caledonie International,2018-08-01,4.817
Air Caledonie International,Air Caledonie International,2018-09-01,4.7316666666666665
Air Caledonie International,Air Caledonie International,2018-10-01,5.4093333333333335
Air Caledonie International,Air Caledonie International,2018-11-01,4.114000000000001
Air Caledonie International,Air Caledonie International,2018-12-01,3.251
Air Canada,Air Canada,2017-11-01,
Air Canada,Air Canada,2017-12-01,
Air Canada,Air Canada,2018-01-01,352.9983333333333
Air Canada,Air Canada,2018-02-01,322.4676666666666
Air Canada,Air Canada,2018-03-01,282.28766666666667
Air Canada,Air Canada,2018-04-01,322.54866666666663
Air Canada,Air Canada,2018-05-01,386.13366666666667
Air Canada,Air Canada,2018-06-01,448.3783333333334
Air Canada,Air Canada,2018-07-01,442.0176666666667
Air Canada,Air Canada,2018-08-01,443.863
Air Canada,Air Canada,2018-09-01,382.5056666666667
Air Canada,Air Canada,2018-10-01,372.247
Air Canada,Air Canada,2018-11-01,339.49766666666665
Air Canada,Air Canada,2018-12-01,351.597
Air China,Air China,2017-11-01,
Air China,Air China,2017-12-01,
Air China,Air China,2018-01-01,959.0966666666667
Air China,Air China,2018-02-01,837.3293333333335
Air China,Air China,2018-03-01,718.6930000000001
Air China,Air China,2018-04-01,606.9110000000001
Air China,Air China,2018-05-01,573.7663333333334
Air China,Air China,2018-06-01,536.8106666666666
Air China,Air China,2018-07-01,473.7436666666667
Air China,Air China,2018-08-01,406.93799999999993
Air China,Air China,2018-09-01,364.58033333333333
Air China,Air China,2018-10-01,368.8329999999999
Air China,Air China,2018-11-01,367.94699999999995
Air China,Air China,2018-12-01,443.05099999999993
Air India,Air India,2017-11-01,
Air India,Air India,2017-12-01,
Air India,Air India,2018-01-01,195.03833333333333
Air India,Air India,2018-02-01,176.83766666666668
Air India,Air India,2018-03-01,161.22666666666666
Air India,Air India,2018-04-01,152.769
Air India,Air India,2018-05-01,131.28666666666666
Air India,Air India,2018-06-01,116.58999999999999
Air India,Air India,2018-07-01,121.351
Air India,Air India,2018-08-01,130.1676666666667
Air India,Air India,2018-09-01,153.7566666666667
Air India,Air India,2018-10-01,189.63199999999998
Air India,Air India,2018-11-01,224.04
Air India,Air India,2018-12-01,216.58
Air Mauritius,Air Mauritius,2017-11-01,
Air Mauritius,Air Mauritius,2017-12-01,
Air Mauritius,Air Mauritius,2018-01-01,68.72066666666667
Air Mauritius,Air Mauritius,2018-02-01,55.584
Air Mauritius,Air Mauritius,2018-03-01,46.89933333333334
Air Mauritius,Air Mauritius,2018-04-01,37.46733333333333
Air Mauritius,Air Mauritius,2018-05-01,35.407333333333334
Air Mauritius,Air Mauritius,2018-06-01,28.567999999999998
Air Mauritius,Air Mauritius,2018-07-01,30.481333333333335
Air Mauritius,Air Mauritius,2018-08-01,36.53666666666666
Air Mauritius,Air Mauritius,2018-09-01,50.38666666666666
Air Mauritius,Air Mauritius,2018-10-01,55.992
Air Mauritius,Air Mauritius,2018-11-01,54.034333333333336
Air Mauritius,Air Mauritius,2018-12-01,52.29566666666667
Air New Zealand,Air New Zealand,2017-11-01,
Air New Zealand,Air New Zealand,2017-12-01,
Air New Zealand,Air New Zealand,2018-01-01,2907.157333333333
Air New Zealand,Air New Zealand,2018-02-01,3044.5633333333335
Air New Zealand,Air New Zealand,2018-03-01,3024.9480000000003
Air New Zealand,Air New Zealand,2018-04-01,2750.615666666667
Air New Zealand,Air New Zealand,2018-05-01,2507.67
Air New Zealand,Air New Zealand,2018-06-01,2334.6373333333336
Air New Zealand,Air New Zealand,2018-07-01,2513.393
Air New Zealand,Air New Zealand,2018-08-01,2565.4273333333335
Air New Zealand,Air New Zealand,2018-09-01,2479.219
Air New Zealand,Air New Zealand,2018-10-01,2354.711
Air New Zealand,Air New Zealand,2018-11-01,2317.649
Air New Zealand,Air New Zealand,2018-12-01,2519.326
Air Niugini,Air Niugini,2017-11-01,
